Run Number,Scan,Energy,Yield,Yield Error
1940,Scan 7,251.5455115,2.351970945613406,0.022480410151550015
1941,Scan 7,254.5949425,1.9330840351950376,0.022598739012105514
1944,Scan 8,218.8182631,0.4184455497260118,0.006331369190422869
1945,Scan 8,220.8128095,0.607820360939906,0.009321345727141078
1946,Scan 8,222.8063626,0.9882718567581249,0.013878087545279619
1947,Scan 8,224.8078621,2.76545448359961,0.015348484501499391
1948,Scan 8,225.8011621,6.906865761666354,0.02678851106940411
1949,Scan 8,226.7944621,17.946805624780275,0.061990663464602004
1950,Scan 8,227.7947152,29.713671045173562,0.09391874670524587
1951,Scan 8,228.7949683,34.28174456043291,0.11366723650094247
1952,Scan 8,229.7892616,34.92522886001918,0.09728551490630286
1953,Scan 8,230.7895147,33.36235893416448,0.10038299028793467
1954,Scan 8,231.7808281,30.561058653343196,0.07904756048918352
1955,Scan 8,232.7810812,26.216011711775653,0.07414177521439118
1956,Scan 8,234.7756276,18.20139297385843,0.05413629772457319
1957,Scan 8,236.7691807,12.862021608257063,0.04025420481723947
1958,Scan 8,238.7637271,9.118957951405518,0.02757023843070835
1959,Scan 8,240.7572802,8.69015262437823,0.03602060375922115
1960,Scan 8,242.7518266,7.50094719116792,0.0389261934870548
1961,Scan 8,244.7324668,5.747543672358558,0.03577640441159925
1962,Scan 8,246.7260199,4.201431002897742,0.03647493313316574
1963,Scan 8,248.7136132,3.114887419380342,0.026763124786266208
1964,Scan 8,250.7081596,2.5281487485171907,0.025334746433419368
1965,Scan 8,252.7017127,2.1294239152902383,0.024368520779972053
1966,Scan 8,328.5501007,1.6436139514585002,0.018092304833141996
1967,Scan 8,331.7544865,2.505977108731356,0.03858089843411252
1968,Scan 8,334.7363731,4.584461299914261,0.051514052964504176
1969,Scan 8,337.7172664,9.995682239092377,0.08416689228052711
1970,Scan 8,339.7038664,20.911265890787007,0.13131756631935973
1971,Scan 8,341.6914597,66.25759988727643,0.2528308368235599
1972,Scan 8,340.6981597,35.18872725769663,0.1237078021134655
1973,Scan 8,342.6917128,115.98304721440688,0.2960524227489155
1974,Scan 8,343.6860061,160.20887079060049,0.37401365621835225
1975,Scan 8,344.6793061,188.29553181956223,0.37348243457168523
1977,Scan 8,346.5417436,184.74276971258666,0.310440756147091
1978,Scan 8,347.5489498,166.20053179375014,0.2800152181766598
1979,Scan 8,349.5355498,133.30374111386726,0.24351462642160013
1980,Scan 8,351.5231431,97.34139045218556,0.21441042950683964
1981,Scan 8,353.5107364,67.59925572481379,0.18551562269023214
1982,Scan 8,355.4983297,44.880416308747854,0.14618407710304598
1983,Scan 8,357.4918828,28.380820467024364,0.11646654517754525
1984,Scan 8,359.4794761,18.240832125720015,0.09337834103392077
1985,Scan 8,361.4670694,12.099572420335626,0.08006994226186595
1986,Scan 8,363.4606225,8.386819039357286,0.06658093068918416
1987,Scan 8,345.4759327,197.48271652641873,0.31156949722419125
1990,Scan 9,219.1112866,0.4340584854376209,0.007343224407547388
1991,Scan 9,221.105833,0.6018665824141473,0.009053952876503676
1992,Scan 9,223.1063392,1.0009120764762989,0.014872869555153568
1993,Scan 9,224.999569,2.905395962200839,0.03265520660770395
1994,Scan 9,225.9998221,7.58857728343258,0.02592374997083512
1995,Scan 9,226.9931221,18.3984659982579,0.03649354497842687
1996,Scan 9,227.9874154,27.899128794202166,0.04921108905635244
1997,Scan 9,228.9807154,31.199651646439886,0.06274180451659785
1998,Scan 9,229.9879216,31.58107361977661,0.08913031674940189
1999,Scan 9,230.9812216,30.100045523254273,0.08801897834554172
2000,Scan 9,231.9745216,27.99452072411733,0.09454102128381608
2001,Scan 9,232.9688149,25.590729513387434,0.08518750610055054
2002,Scan 9,234.962368,19.68832284028049,0.07401468221307138
2003,Scan 9,236.9569144,15.044656264888001,0.06489469500866624
2004,Scan 9,238.9504675,11.279038114426399,0.05713927477977036
2005,Scan 9,240.9450139,10.18013479113921,0.05434141026173206
2006,Scan 9,242.938567,8.106861560960427,0.04920937340260639
2007,Scan 9,244.9331134,6.202733489716806,0.042738867258680556
2008,Scan 9,246.9207067,4.604396508968225,0.03642828201182322
2009,Scan 9,248.9142598,3.513226927235709,0.03282816233935001
2010,Scan 9,250.9018531,2.889771219679281,0.02875429834779365
2011,Scan 9,252.8884531,2.388413276835737,0.022819350850781166
2012,Scan 9,254.8760464,2.0796763033457277,0.02142744020915608
2013,Scan 9,239.8573504,10.489974581328374,0.05113351059191502
2014,Scan 9,241.8449437,9.427685400909905,0.052576004400110184
